,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,19.99,73,90,6.91,US,1612072032
1,rikitea,-23.1203,-134.9692,79.38,74,39,9.57,PF,1612072032
2,kavieng,-2.5744,150.7967,83.57,73,99,11.9,PG,1612072032
3,khatanga,71.9667,102.5,-47.76,78,43,1.52,RU,1612072033
4,kabanjahe,3.1001,98.4908,82.4,89,75,5.75,ID,1612072033
5,mount pleasant,32.7941,-79.8626,55.99,87,90,13.2,US,1612072033
6,punta arenas,-53.15,-70.9167,48.2,71,0,20.71,CL,1612072033
7,sayyan,15.1718,44.3244,58.15,31,1,5.77,YE,1612072034
8,zhigansk,66.7697,123.3711,-44.45,75,73,5.44,RU,1612072034
9,olafsvik,64.8945,-23.7142,22.96,87,24,14.54,IS,1612072034
10,guerrero negro,27.9769,-114.0611,56.95,73,68,3.56,MX,1612072034
11,tasiilaq,65.6145,-37.6368,17.6,53,75,5.75,GL,1612072035
12,busselton,-33.65,115.3333,93.99,26,0,4.0,AU,1612072035
13,puerto narino,-3.7703,-70.3831,75.2,100,40,2.06,CO,1612072035
14,pisco,-13.7,-76.2167,69.8,78,0,10.36,PE,1612072036
15,stanovoye,52.7638,38.3582,33.44,99,100,19.17,RU,1612072036
16,atuona,-9.8,-139.0333,79.23,76,78,17.72,PF,1612072036
17,bethel,41.3712,-73.414,15.01,67,1,4.59,US,1612072036
18,castro,-24.7911,-50.0119,64.18,95,100,4.16,BR,1612072036
19,kerrville,30.0474,-99.1403,54.0,61,1,10.56,US,1612072037
20,lebanon,36.2081,-86.2911,46.0,93,75,17.27,US,1612071900
21,ushuaia,-54.8,-68.3,46.4,66,0,10.36,AR,1612072037
22,tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,1612072037
23,georgetown,5.4112,100.3354,89.6,45,20,5.75,MY,1612071927
24,lagoa,39.05,-27.9833,61.52,96,69,21.45,PT,1612072038
25,butaritari,3.0707,172.7902,81.61,81,68,17.18,KI,1612072038
26,omboue,-1.5746,9.2618,74.61,87,100,3.38,GA,1612072038
27,dikson,73.5069,80.5464,-32.31,80,0,4.97,RU,1612072039
28,lerwick,60.1545,-1.1494,37.4,87,75,20.71,GB,1612072039
29,santiago,-33.4569,-70.6483,64.99,88,90,2.3,CL,1612072039
30,cururupu,-1.8283,-44.8683,75.63,91,100,2.62,BR,1612072039
31,batagay,67.6333,134.6333,-47.51,76,70,1.25,RU,1612072039
32,cidreira,-30.1811,-50.2056,74.05,90,92,4.99,BR,1612072040
33,port elizabeth,-33.918,25.5701,68.0,77,0,2.3,ZA,1612072040
34,avarua,-21.2078,-159.775,78.8,89,75,2.3,CK,1612072040
35,kaitangata,-46.2817,169.8464,63.0,80,100,5.01,NZ,1612072041
36,conceicao do araguaia,-8.2578,-49.2647,71.58,95,90,3.09,BR,1612072041
37,albany,42.6001,-73.9662,9.0,58,19,4.12,US,1612071932
38,thanh hoa,19.8,105.7667,73.85,66,92,5.79,VN,1612071927
39,barrow,71.2906,-156.7887,-16.6,69,90,10.36,US,1612072042
40,bandarbeyla,9.4942,50.8122,75.69,62,81,15.82,SO,1612072042
41,massena,44.9281,-74.8919,-6.0,70,1,0.89,US,1612072042
42,mar del plata,-38.0023,-57.5575,60.01,58,75,16.11,AR,1612072008
